COMMUNICATIONS RESOURCE AVAILABILITY WORKSHEET,,,,,,,Frequency Band,,,Description,,
,,,,,,,Amateur,,,20250917,,Change Description
,,,,,,,,,,,,
Ch #,"Channel
Configuration",Display Name,Channel/Repeater Name,RX Freq,N/W,"Rx Tone,
CC/TS/TG",TX Freq,N/W,"Tx Tone,
CC/TS/TG",Mode,Remarks,
Analog Voice — VHF High (2m),,,,,,,,,,,,
U05N,Repeater,U05CH1,Capitol Hill 1,443.0250,N,CSQ†,448.0250,N,123.0,A,"tactical; W7ACS; KP Hospital, Allstar 48841",Channel #; 'W'->'N'; Tx Tone
U06N,Repeater,U06CH2,Capitol Hill 2,442.8750,N,CSQ†,447.8750,N,123.0,A,"tactical; W7ACS; Capitol Park, Allstar 48842",Channel #; 'W'->'N'; Tx Tone
U07N,Repeater,U07MAG,Magnolia,443.4750,N,CSQ†,448.4750,N,123.0,A,tactical; W7ACS; Allstar 48836,Channel #; 'W'->'N'; Tx Tone
U08N,Repeater,U08MPL,Maple Leaf,443.6500,N,CSQ†,448.6500,N,123.0,A,tactical; W7ACS,Channel #; 'W'->'N'; Tx Tone
U09N,Repeater,U09LFP,Lake Forest Park,440.6000,N,CSQ†,445.6000,N,123.0,A,tactical; W7ACS; Allstar 48834,Channel #; 'W'->'N'; Tx Tone
U10N,Repeater,U10QA1,Queen Anne 1,444.7000,N,CSQ†,449.7000,N,123.0,A,tactical; WW7SEA; Allstar 48845,Channel #; 'W'->'N'; Tx Tone
U11N,Repeater,U11WSE,West Seattle UHF,441.8000,N,CSQ†,446.8000,N,123.0,A,tactical; W7AW,Channel #; 'W'->'N'; Tx Tone
U12N,Repeater,U12SSC,South Seattle College,443.3750,N,CSQ†,448.3750,N,123.0,MF,tactical; K7RSD,Channel #; 'W'->'N'; Tx Tone
U13N,Repeater,U13WCR,Westcrest,443.2000,N,CSQ†,448.2000,N,123.0,A,tactical; W7ACS,Channel #; 'W'->'N'; Tx Tone
U14N,Repeater,U14QA2,Queen Anne 2,444.4250,N,CSQ†,449.4250,N,123.0,MF,tactical; WW7SEA; KOMO Tower,Channel #; 'W'->'N'; Tx Tone
